"","agrp","rsex","ethnicgrpr","sexidr","rnssecgp_6","adj_imd_quintile","rwcasual","snnolov","snpres","snold","snsexdrv","snmedia","snearly","attconservative","dage1ch","disabil2","depscr","religimp","relstatr","total_wt"
"1",2,1,1,1,4,3,1,4,2,2,2,2,1,1.36654459503256,-1,1,0,2,7,0.460514462017288
"2",3,2,1,1,5,3,5,2,3,4,4,4,3,-2.38964933445302,-1,1,0,4,2,1.9239441434632
"3",1,2,1,1,8,4,3,2,4,4,2,2,2,-0.75150431371552,-1,1,0,3,3,1.02085577130309
"4",4,2,2,2,5,5,1,5,4,8,3,1,1,NA,28,1,1,1,NA,0.807429321280828
"5",2,1,2,2,1,5,1,5,8,8,4,8,1,NA,23,1,0,1,1,1.03908160884383
"6",1,2,2,1,8,4,1,5,1,4,2,2,2,0.99449801235463,-1,1,-1,1,7,0.53817948561476
"7",2,2,2,1,4,5,1,5,2,2,3,1,1,1.7961533205061,-1,1,0,1,7,0.660099070658738
"8",1,2,1,1,5,5,2,2,2,3,1,1,2,0.619009943687496,-1,3,0,3,3,0.270725420732531
"9",2,2,1,1,2,5,2,3,2,3,3,3,2,-0.232226172909899,25,1,0,2,1,0.52558959955628
"10",3,2,1,1,5,3,1,2,4,2,2,2,1,0.427344181170793,25,1,0,2,5,0.626171896045129
"11",5,1,1,1,7,5,1,2,4,2,4,3,2,-0.729473810378167,17,3,0,3,1,2.27112942947042
"12",2,2,1,1,2,2,3,2,2,3,4,2,2,-0.467517337290555,25,1,0,4,3,0.26279479977814
"13",1,2,1,1,6,2,3,3,3,3,2,2,2,-0.0725848962692518,-1,1,1,2,7,0.355332919881838
"14",4,1,1,1,3,4,2,2,2,2,4,4,3,-1.24375766718283,24,3,1,3,5,1.57930881798942
"15",1,2,1,1,5,5,1,5,4,4,4,1,1,0.750496717460638,17,1,0,3,3,0.329412442586217
"16",1,2,1,1,8,5,2,3,1,8,1,2,2,NA,18,3,1,2,2,0.658824885172434
"17",1,2,1,1,1,2,3,2,1,4,2,2,1,0.335856119831986,-1,1,0,3,7,0.833697637441207
"18",2,1,1,1,5,2,3,2,2,3,1,3,2,-0.280742933419637,25,3,0,3,7,0.560525767144693
"19",3,2,1,1,2,3,3,3,4,4,1,2,1,0.103770378838603,-1,1,1,1,7,1.36665871599842
"20",1,2,1,1,5,2,2,3,1,3,2,2,1,0.96192570159385,-1,1,0,3,7,0.482890262803771
"21",2,1,1,1,5,3,3,3,2,2,3,2,2,0.174068197200925,-1,1,0,4,1,0.594451016966252
"22",3,2,1,1,4,1,2,3,2,4,5,3,1,-0.386770625583993,24,1,0,4,2,1.20850947314775
"23",2,2,1,1,5,5,1,3,1,3,1,1,1,1.68021937183516,27,3,0,4,1,0.58833669893088
"24",3,2,1,1,1,1,3,2,1,4,5,3,1,-0.582070308507311,23,3,0,4,1,2.39373717155006
"25",1,2,1,1,8,2,3,2,1,4,2,2,2,-0.0871522487460457,-1,1,0,3,7,0.683878660928049
"26",1,1,1,1,8,3,4,2,4,4,4,2,2,-1.28833877709101,-1,1,0,4,7,0.360123384548799
